Date and time	Type of activity	Item purchased	Number of items	Change in pokecoins	Money spent on purchase	Currency
12/25/2016 18:16:25 UTC	Pokecoin spent for in-game item	POKECOIN		-250
12/25/2016 18:16:25 UTC	In-game item bought	Great balls	10	
12/25/2016 18:16:25 UTC	In-game item bought	Egg incubator	2	
12/25/2016 18:16:38 UTC	Pokecoin spent for in-game item	POKECOIN		-250
12/25/2016 18:16:38 UTC	In-game item bought	Great balls	10	
12/25/2016 18:16:38 UTC	In-game item bought	Egg incubator	2	
12/25/2016 18:18:14 UTC	Pokecoin spent for in-game item	POKECOIN		-250
12/25/2016 18:18:14 UTC	In-game item bought	Great balls	10	
12/25/2016 18:18:14 UTC	In-game item bought	Egg incubator	2	
12/25/2016 18:18:18 UTC	Pokecoin spent for in-game item	POKECOIN		-250
12/25/2016 18:18:18 UTC	In-game item bought	Great balls	10	
12/25/2016 18:18:18 UTC	In-game item bought	Egg incubator	2	
12/30/2016 19:03:14 UTC	Pokecoin spent for in-game item	POKECOIN		-250
12/30/2016 19:03:14 UTC	In-game item bought	Great balls	10	
12/30/2016 19:03:14 UTC	In-game item bought	Egg incubator	2	
12/30/2016 19:03:16 UTC	Pokecoin spent for in-game item	POKECOIN		-250
12/30/2016 19:03:16 UTC	In-game item bought	Great balls	10	
12/30/2016 19:03:16 UTC	In-game item bought	Egg incubator	2	
01/02/2017 11:30:32 UTC	Pokecoin spent for in-game item	POKECOIN		-200
01/02/2017 11:30:32 UTC	In-game item bought	Pokemon storage upgrade	1	
02/01/2017 11:07:43 UTC	Pokecoin spent for in-game item	POKECOIN		-200
02/01/2017 11:07:43 UTC	In-game item bought	Pokemon storage upgrade	1	
02/06/2017 21:32:05 UTC	Pokecoin spent for in-game item	POKECOIN		-200
02/06/2017 21:32:05 UTC	In-game item bought	Pokemon storage upgrade	1	
02/08/2017 20:01:16 UTC	Pokecoin spent for in-game item	POKECOIN		-150
02/08/2017 20:01:17 UTC	In-game item bought	Egg incubator	1	
02/08/2017 20:01:19 UTC	Pokecoin spent for in-game item	POKECOIN		-150
02/08/2017 20:01:19 UTC	In-game item bought	Egg incubator	1	
02/08/2017 20:01:21 UTC	Pokecoin spent for in-game item	POKECOIN		-150
02/08/2017 20:01:21 UTC	In-game item bought	Egg incubator	1	
02/08/2017 20:01:23 UTC	Pokecoin spent for in-game item	POKECOIN		-150
02/08/2017 20:01:23 UTC	In-game item bought	Egg incubator	1	
02/08/2017 20:01:27 UTC	Pokecoin spent for in-game item	POKECOIN		-150
02/08/2017 20:01:27 UTC	In-game item bought	Egg incubator	1	
02/08/2017 20:01:28 UTC	Pokecoin spent for in-game item	POKECOIN		-150
02/08/2017 20:01:28 UTC	In-game item bought	Egg incubator	1	
02/08/2017 20:01:30 UTC	Pokecoin spent for in-game item	POKECOIN		-150
02/08/2017 20:01:30 UTC	In-game item bought	Egg incubator	1	
02/08/2017 20:02:28 UTC	Pokecoin spent for in-game item	POKECOIN		-150
02/08/2017 20:02:28 UTC	In-game item bought	Egg incubator	1	
02/08/2017 21:33:11 UTC	Pokecoin spent for in-game item	POKECOIN		-200
02/08/2017 21:33:11 UTC	In-game item bought	Pokemon storage upgrade	1	
02/11/2017 22:21:44 UTC	Pokecoin spent for in-game item	POKECOIN		-150
02/11/2017 22:21:44 UTC	In-game item bought	Egg incubator	1	
02/11/2017 23:01:50 UTC	Pokecoin spent for in-game item	POKECOIN		-680
02/11/2017 23:01:50 UTC	In-game item bought	Lure	8	
02/11/2017 23:02:04 UTC	Pokecoin spent for in-game item	POKECOIN		-150
02/11/2017 23:02:04 UTC	In-game item bought	Egg incubator	1	
02/11/2017 23:02:07 UTC	Pokecoin spent for in-game item	POKECOIN		-150
02/11/2017 23:02:07 UTC	In-game item bought	Egg incubator	1	
02/17/2017 00:15:53 UTC	Pokecoin spent for in-game item	POKECOIN		-100
02/17/2017 00:15:53 UTC	In-game item bought	Pokemon storage upgrade	1	
02/17/2017 00:15:55 UTC	Pokecoin spent for in-game item	POKECOIN		-100
02/17/2017 00:15:55 UTC	In-game item bought	Pokemon storage upgrade	1	
02/17/2017 00:15:57 UTC	Pokecoin spent for in-game item	POKECOIN		-100
02/17/2017 00:15:57 UTC	In-game item bought	Pokemon storage upgrade	1	
02/17/2017 09:19:41 UTC	Pokecoin bought	POKECOIN		1200	9.99	EUR
02/17/2017 09:19:46 UTC	Pokecoin spent for in-game item	POKECOIN		-100
02/17/2017 09:19:46 UTC	In-game item bought	Pokemon storage upgrade	1	
02/17/2017 09:19:49 UTC	Pokecoin spent for in-game item	POKECOIN		-100
02/17/2017 09:19:50 UTC	In-game item bought	Pokemon storage upgrade	1	
02/17/2017 09:19:51 UTC	Pokecoin spent for in-game item	POKECOIN		-100
02/17/2017 09:19:51 UTC	In-game item bought	Pokemon storage upgrade	1	
02/17/2017 09:19:54 UTC	Pokecoin spent for in-game item	POKECOIN		-100
02/17/2017 09:19:54 UTC	In-game item bought	Pokemon storage upgrade	1	
02/18/2017 13:11:38 UTC	Pokecoin spent for in-game item	POKECOIN		-160
03/01/2017 21:22:26 UTC	Pokecoin spent for in-game item	POKECOIN		-150
03/01/2017 21:22:26 UTC	In-game item bought	Egg incubator	1	
03/07/2017 09:30:19 UTC	Pokecoin spent for in-game item	POKECOIN		-220
03/13/2017 19:32:48 UTC	Pokecoin spent for in-game item	POKECOIN		-150
03/13/2017 19:32:48 UTC	In-game item bought	Egg incubator	1	
03/25/2017 21:47:07 UTC	Pokecoin spent for in-game item	POKECOIN		-150
03/25/2017 21:47:07 UTC	In-game item bought	Egg incubator	1	
04/13/2017 20:00:40 UTC	Pokecoin spent for in-game item	POKECOIN		-625
04/13/2017 20:00:40 UTC	In-game item bought	Lucky egg	25	
04/13/2017 21:06:42 UTC	Pokecoin spent for in-game item	POKECOIN		-150
04/13/2017 21:06:42 UTC	In-game item bought	Egg incubator	1	
04/13/2017 21:06:45 UTC	Pokecoin spent for in-game item	POKECOIN		-150
04/13/2017 21:06:45 UTC	In-game item bought	Egg incubator	1	
04/13/2017 21:06:48 UTC	Pokecoin spent for in-game item	POKECOIN		-150
04/13/2017 21:06:48 UTC	In-game item bought	Egg incubator	1	
04/13/2017 21:06:51 UTC	Pokecoin spent for in-game item	POKECOIN		-150
04/13/2017 21:06:51 UTC	In-game item bought	Egg incubator	1	
04/13/2017 21:06:54 UTC	Pokecoin spent for in-game item	POKECOIN		-150
04/13/2017 21:06:54 UTC	In-game item bought	Egg incubator	1	
04/13/2017 21:06:57 UTC	Pokecoin spent for in-game item	POKECOIN		-150
04/13/2017 21:06:57 UTC	In-game item bought	Egg incubator	1	
04/13/2017 21:07:00 UTC	Pokecoin spent for in-game item	POKECOIN		-150
04/13/2017 21:07:00 UTC	In-game item bought	Egg incubator	1	
04/15/2017 17:23:53 UTC	Pokecoin spent for in-game item	POKECOIN		-150
04/15/2017 17:23:53 UTC	In-game item bought	Egg incubator	1	
04/16/2017 17:48:22 UTC	Pokecoin spent for in-game item	POKECOIN		-150
04/16/2017 17:48:22 UTC	In-game item bought	Egg incubator	1	
04/16/2017 17:48:24 UTC	Pokecoin spent for in-game item	POKECOIN		-150
04/16/2017 17:48:24 UTC	In-game item bought	Egg incubator	1	
04/16/2017 17:48:26 UTC	Pokecoin spent for in-game item	POKECOIN		-150
04/16/2017 17:48:26 UTC	In-game item bought	Egg incubator	1	
04/16/2017 17:48:29 UTC	Pokecoin spent for in-game item	POKECOIN		-150
04/16/2017 17:48:29 UTC	In-game item bought	Egg incubator	1	
04/16/2017 17:48:31 UTC	Pokecoin spent for in-game item	POKECOIN		-150
04/16/2017 17:48:31 UTC	In-game item bought	Egg incubator	1	
04/16/2017 17:48:34 UTC	Pokecoin spent for in-game item	POKECOIN		-150
04/16/2017 17:48:34 UTC	In-game item bought	Egg incubator	1	
04/16/2017 17:48:36 UTC	Pokecoin spent for in-game item	POKECOIN		-150
04/16/2017 17:48:36 UTC	In-game item bought	Egg incubator	1	
04/16/2017 17:48:38 UTC	Pokecoin spent for in-game item	POKECOIN		-150
04/16/2017 17:48:38 UTC	In-game item bought	Egg incubator	1	
04/16/2017 17:48:41 UTC	Pokecoin spent for in-game item	POKECOIN		-150
04/16/2017 17:48:41 UTC	In-game item bought	Egg incubator	1	
04/18/2017 08:43:08 UTC	Pokecoin spent for in-game item	POKECOIN		-625
04/18/2017 08:43:08 UTC	In-game item bought	Lucky egg	25	
04/20/2017 15:07:30 UTC	Pokecoin spent for in-game item	POKECOIN		-150
04/20/2017 15:07:30 UTC	In-game item bought	Egg incubator	1	
04/20/2017 15:07:38 UTC	Pokecoin spent for in-game item	POKECOIN		-150
04/20/2017 15:07:38 UTC	In-game item bought	Egg incubator	1	
04/20/2017 15:07:41 UTC	Pokecoin spent for in-game item	POKECOIN		-150
04/20/2017 15:07:41 UTC	In-game item bought	Egg incubator	1	
04/20/2017 15:07:44 UTC	Pokecoin spent for in-game item	POKECOIN		-150
04/20/2017 15:07:44 UTC	In-game item bought	Egg incubator	1	
04/20/2017 15:07:47 UTC	Pokecoin spent for in-game item	POKECOIN		-150
04/20/2017 15:07:47 UTC	In-game item bought	Egg incubator	1	
04/20/2017 15:07:49 UTC	Pokecoin spent for in-game item	POKECOIN		-150
04/20/2017 15:07:49 UTC	In-game item bought	Egg incubator	1	
05/05/2017 21:18:35 UTC	In-game item granted by admin	Lure	3	
